agency,department,name,title,room_number,street_address,city,state,zip_code,telephone,fax,email_address,website,online_request_form,notes
"Philadelphia District Office (Baltimore and Cleveland Field Offices, Pittsburgh Area Office)",Equal Employment Opportunity Commission,Sameera McNeil,Records Disclosure Coordinator,Suite 1300,801 Market Street,Philadelphia,PA,19107-3127,(215)440-2840,(215) 440-2606,mailto:PHILFOIA@eeoc.gov,http://www.eeoc.gov/field/philadelphia/foia.cfm,,
"Philadelphia District Office (Baltimore and Cleveland Field Offices, Pittsburgh Area Office)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Philadelphia District Office (Baltimore and Cleveland Field Offices, Pittsburgh Area Office)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"Phoenix District Office (Denver Field Office, Albuquerque Area Office)",Equal Employment Opportunity Commission,Joseph Stier,Records Disclosure Officer,Suite 690,3300 N. Central Avenue,Phoenix,AZ,85012-2504 ,"(602) 640-5012, (602) 640-5072 (TTY)",(602) 640-5071,mailto: PHOENIXFOIA@eeoc.gov,http://www.eeoc.gov/field/phoenix/foia.cfm,,
"Phoenix District Office (Denver Field Office, Albuquerque Area Office)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Phoenix District Office (Denver Field Office, Albuquerque Area Office)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"San Francisco District Office (Seattle Field Office, Oakland and San Jose Local Offices)",Equal Employment Opportunity Commission,Vincent Clark,Records Disclosure Coordinator,Suite 500,450 Golden Gate Avenue,San Francisco,CA,94102-3661,"(415) 522-3144, (510) 735-8909 (TTY)",(415) 522-3415,mailto:SANFFOIA@eeoc.gov,http://www.eeoc.gov/field/sanfrancisco/foia.cfm,,
"San Francisco District Office (Seattle Field Office, Oakland and San Jose Local Offices)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"San Francisco District Office (Seattle Field Office, Oakland and San Jose Local Offices)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
St. Louis District Office (Kansas City and Oklahoma Area Offices),Equal Employment Opportunity Commission,Sherlyn Metzler,Records Disclosure Coordinator,Room 8100,1222 Spruce Street,St. Louis,MO,63103,(314)539-7908,(314) 539-7050,mailto:STLOFOIA@eeoc.gov,http://www.eeoc.gov/field/stlouis/foia.cfm,,
St. Louis District Office (Kansas City and Oklahoma Area Offices),Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
St. Louis District Office (Kansas City and Oklahoma Area Offices),Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Washington Field Office,Equal Employment Opportunity Commission,Louise Dixon,Records Disclosure Coordinator,Suite 4NE29F,"131 M Street, NE",Washington,DC,20507,(202) 419-0721,(202) 419-0740,mailto:WASHFOIA@eeoc.gov,http://www.eeoc.gov/field/washington/foia.cfm,,
Washington Field Office,Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,(202) 663-4500,(202) 663-4679,mailto:FOIA@EEOC.gov,,,
Washington Field Office,Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
I don't know which office,Equal Employment Opportunity Commission,Stephanie Garner,"Assistant Legal Counsel/FOIA, OLC/FOIA Programs",Suite 5NW02E,"131 M Street, NE",Washington,DC,20507,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,http://www.eeoc.gov/eeoc/foia/,,
I don't know which office,Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
I don't know which office,Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Council on Environmental Quality,Executive Office of the President,Brooke Dorner,Chief FOIA Officer/Attorney-Advisor,,"722 Jackson Place, NW",Washington,DC,20503,(202)456-6224,(202) 456-0753,mailto:efoia@ceq.eop.gov,https://www.whitehouse.gov/administration/eop/ceq/foia/,,
Council on Environmental Quality,Executive Office of the President,,FOIA Requester Service Center,,,,,,(202)456-6224,(202) 456-0753,mailto:efoia@ceq.eop.gov,,,
Council on Environmental Quality,Executive Office of the President,Brooke Dorner,FOIA Public Liaison,,,,,,(202)456-6224,(202) 456-0753,mailto:efoia@ceq.eop.gov,,,
Office of Management and Budget,Executive Office of the President,Dionne Hardy,FOIA Officer,Room 9026,"725 17th Street, NW",Washington,DC,20503,(202) 395-3642,(202) 395-3504,mailto:OMBFOIA@omb.eop.gov,http://www.whitehouse.gov/omb/foia_default,,
Office of Management and Budget,Executive Office of the President,,FOIA Requester Service Center,,,,,,(202) 395-3642,,,,,
Office of Management and Budget,Executive Office of the President,Lauren Wright,FOIA Public Liaison,,,,,,(202) 395-7250,,,,,
Office of National Drug Control Policy,Executive Office of the President,Michael Passante,Chief FOIA Officer,,750 17th Street NW,Washington,DC,20503,(202) 395-6622,(202) 395-5543,,http://www.whitehouse.gov/ondcp/freedom-of-information-act-requests,,
Office of National Drug Control Policy,Executive Office of the President,Sandy Slater,FOIA Requester Service Center,,750 17th Street NW,Washington,DC,20503,(202) 395-6622,,,,,
Office of National Drug Control Policy,Executive Office of the President,Michael Passante,FOIA Public Liaison,,750 17th Street NW,Washington,DC,20503,(202) 395-6622,,,,,
Office of Science and Technology Policy,Executive Office of the President,Rachael Leonard,General Counsel,,"1650 Pennsylvania Avenue, NW",Washington,DC,20502,(202) 456- 4444,(202) 395-1224,ostpfoia@ostp.eop.gov,https://www.whitehouse.gov/administration/eop/ostp/library/foia/,,
Office of Science and Technology Policy,Executive Office of the President,Jennifer Lee,FOIA Requester Service Center,,"1650 Pennsylvania Avenue, NW",Washington,DC,20502,(202) 456- 4444,,ostpfoia@ostp.eop.gov,https://www.whitehouse.gov/administration/eop/ostp/library/foia/,,
Office of Science and Technology Policy,Executive Office of the President,Jennifer Lee,FOIA Public Liaison,,"1650 Pennsylvania Avenue, NW",Washington,DC,20502,(202) 456- 4444,,ostpfoia@ostp.eop.gov,https://www.whitehouse.gov/administration/eop/ostp/library/foia/,,
Office of the United States Trade Representative,Executive Office of the President,Melissa J. Keppel,FOIA Officer,513,1724 F Street NW,Washington,DC,20508,(202) 395-3419,(202) 395-9458,foia@ustr.eop.gov,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia,,
Office of the United States Trade Representative,Executive Office of the President,Jacqueline B. Caldwell,FOIA Requester Service Center,514,1724 F Street NW,Washington,DC,20508,(202) 395-3419,(202) 395-9458,foia@ustr.eop.gov,,,
Office of the United States Trade Representative,Executive Office of the President,Jacqueline B. Caldwell,FOIA Public Liaison,514,1724 F Street NW,Washington,DC,20508,(202) 395-3419,(202) 395-9458,foia@ustr.eop.gov,,,
Export-Import Bank of the U.S.,Export-Import Bank of the U.S.,Lennell C. Jackson,FOIA Contact,,"811 Vermont Avenue, NW",Washington,DC,20571,(202) 565-3290,(202) 565-3294,mailto:foia@exim.gov,http://www.exim.gov/about/foia,http://www.exim.gov/about/foia/foia-request-form,
Export-Import Bank of the U.S.,Export-Import Bank of the U.S.,,FOIA Requester Service Center,,,,,,(202) 565-3290,,,,http://www.exim.gov/about/foia/foia-request-form,
Export-Import Bank of the U.S.,Export-Import Bank of the U.S.,Lennell C. Jackson,FOIA Public Liaison,,,,,,(202) 565-3290,,mailto:foia@exim.gov,,,
Farm Credit Administration,Farm Credit Administration,Autumn R. Agans,FOIA Officer,,1501 Farm Credit Drive,McLean,VA,22102-5090,(703) 883-4082,(703) 790-0052,mailto:foiaofficer@fca.gov,http://www.fca.gov/home/freedom_info.html,,
Farm Credit Administration,Farm Credit Administration,Sheree Derocher,FOIA Requester Service Center,,,,,,(703) 883-4048,,mailto:FOIArequesterservicecenter@fca.gov,,,
Farm Credit Administration,Farm Credit Administration,Christine D. Quinn,FOIA Public Liaison,,,,,,(703) 883-4056,,mailto:foiapublicliaison@fca.gov,,,
Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,Autumn R. Agans,Freedom of Information Officer,,1501 Farm Credit Drive,McLean,VA,22102-5090,(703) 883-4082,(703) 790-0052,mailto:FCSICFOIAOfficer@fcsic.gov,http://www.fcsic.gov/FCSIC%20FOIA.html,,
Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,Sheree Derocher,FOIA Requester Service Center,,,,,,(703) 883-4048,,mailto:FCSICFOIArequesterservicecenter@fcsic.gov,,,
Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,Christine D. Quinn,FOIA Public Liaison,,,,,,(703) 883-4020,,mailto:FCSICfoiapublicliaison@fcsic.gov,,,
Federal Communications Commission,Federal Communications Commission,Vanessa Lamb,Deputy Associate Managing Director - FOIA Program,Room 1-A834,"445 12th Street, SW",Washington,DC,20554,(202) 418-0440,(202) 418-0521,mailto:FOIA@fcc.gov,http://www.fcc.gov/foia/,"http://transition.fcc.gov/foia/#reqform",
Federal Communications Commission,Federal Communications Commission,,FOIA Requester Service Center,,,,,,(202) 418-0440,,,,,
Federal Communications Commission,Federal Communications Commission,Stephanie Kost,FOIA Public Liaison,,,,,,(202) 418-1379,,mailto:Stephanie.Kost@fcc.gov ,,,
Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,FOIA Contact,"Legal Division, FOIA/PA Group",,"550 17th Street, NW",Washington,DC,20429,(202) 898-7021,(703) 562-2797,mailto:efoia@fdic.gov,http://www.fdic.gov/about/freedom/index.html,https://efoiarequest.fdic.gov/palMain.aspx?protocol=https,
Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,,FOIA Requester Service Center,,,,,,(202) 898-7021,,,,,
Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Gordon Talbot,FOIA Public Liaison,,,,,,(703) 562-6040,,mailto:cwebster@fdic.gov,,,
Federal Election Commission,Federal Election Commission,FOIA Contact,FOIA Requester Service Center,Room 408,"999 E Street, NW",Washington,DC,20463,(202) 694-1650,(202) 219-1043,mailto:FOIA@fec.gov,http://www.fec.gov/press/foia.shtml,,
Federal Election Commission,Federal Election Commission,Candace Salley,FOIA Requester Service Center,,,,,,(202) 694-1650,,,,,
Federal Election Commission,Federal Election Commission,Kate Higginbothom,FOIA Public Liaison,,,,,,(202) 694-1650,,mailto:khigginbothom@fec.gov,,,
Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,FOIA Contact,,"888 First Street NE, Code EA1",Washington,DC,20426,(202) 502-6088; Toll Free: 1-866-208-3372,(202) 208-2106,mailto:foia-ceii@ferc.gov,http://www.ferc.gov/legal/ceii-foia.asp,http://www.ferc.gov/legal/ceii-foia/foia/foia-new-form/FOIARequest.aspx,
Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,FOIA Requester Service Center,,,,,,(202) 502-6088,,,,,
Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,Toyia Johnson,FOIA Public Liaison,,,,,,(202) 502-6088,,,,,
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,Judith E. Dupre,Executive Secretary,B7081a,3501 Fairfax Drive,Arlington ,VA,22226-3550,(703) 516-5590,(703) 562-6446,mailto:FOIA@ffiec.gov,http://www.ffiec.gov/foia.htm,,
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,,FOIA Requester Service Center,,,,,,(703) 516-5591,,,,,
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,Rosanna Piccirilli,FOIA Public Liaison,,,,,,(703) 516-5591,,mailto:FOIA@ffiec.gov,,,
Federal Housing Finance Agency,Federal Housing Finance Agency,Stacy J. Easter,FOIA Officer,Constitution Center,"400 7th Street, SW",Washington,DC,20219,(202) 649-3803,(202) 649-1073,mailto:FOIA@fhfa.gov,http://www.fhfa.gov/AboutUs/FOIAPrivacy/Pages/FOIA.aspx,https://www.publicaccesslink.fhfa.gov/palMain.aspx,
Federal Housing Finance Agency,Federal Housing Finance Agency,,FOIA Requester Service Center,,,,,,(202) 649-3803,(202) 649-1073,,,,
Federal Housing Finance Agency,Federal Housing Finance Agency,Stacy J. Easter,FOIA Public Liaison,,,,,,(202) 649-3803,,,,,
The Authority,Federal Labor Relations Authority,Fred B. Jacob,"Solicitor, Office of the Solicitor",,"1400 K Street, NW",Washington ,DC,20424,(202) 218-7770,(202) 343-1007,mailto:solmail@flra.gov,http://www.flra.gov/FOIA,,
The Authority,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(202) 218-7770,,,,,
The Authority,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Office of the General Counsel,Federal Labor Relations Authority,,FOIA Contact,,"1400 K Street, NW",Washington ,DC,20424,(202) 218-7910,(202) 482-6608,mailto:ogcmail@flra.gov,http://www.flra.gov/FOIA,,
Office of the General Counsel,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(202) 218-7910,,,,,
Office of the General Counsel,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Atlanta Regional Office,Federal Labor Relations Authority,,FOIA Contact,Suite 701,285 Peachtree Center Avenue,Atlanta,GA,30303-1270,(404) 331-5300,(404) 331-5280,mailto:aromail@flra.gov,http://www.flra.gov/FOIA,,
Atlanta Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(404) 331-5300,,,,,
Atlanta Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Boston Regional Office,Federal Labor Relations Authority,,FOIA Contact,Suite 472,10 Causeway Street,Boston,MA,02222,(617) 565-5100,(617) 565-6262,mailto:bromail@flra.gov,http://www.flra.gov/FOIA,,
Boston Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(617) 565-5100,,,,,
Boston Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Chicago Regional Office,Federal Labor Relations Authority,,FOIA Contact,Suite 1150,55 West Monroe Street,Chicago,IL,60603-9729,(312) 886-3465,(312) 886-5977,mailto:cromail@flra.gov,http://www.flra.gov/FOIA,,
Chicago Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(312) 886-3465,,,,,
Chicago Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Dallas Regional Office,Federal Labor Relations Authority,,FOIA Contact,"Suite 926, LB 107",525 Griffin Street,Dallas,TX,75202-1906,(214) 767-6266,(214) 767-0156,mailto:daromail@flra.gov,http://www.flra.gov/FOIA,,
Dallas Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(214) 767-6266,,,,,
Dallas Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Denver Regional Office,Federal Labor Relations Authority,,FOIA Contact,Suite 100,1244 Speer Boulevard,Denver,CO,80204-3581,(303) 844-5226,(303) 844-2774,mailto:daromail@flra.gov,http://www.flra.gov/FOIA,,
Denver Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(303) 844-5226,,,,,
Denver Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
San Francisco Regional Office,Federal Labor Relations Authority,,FOIA Contact,Suite 220,901 Market Street,San Francisco,CA,94103-1791,(415) 356-5000,(415) 356-5017,mailto:sromail@flra.gov,http://www.flra.gov/foia_contact,,
San Francisco Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(415) 356-5000,,,,,
San Francisco Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Washington Regional Office,Federal Labor Relations Authority,,FOIA Contact,2nd Floor,"1400 K Street, NW",Washington ,DC,25424-0001,(202) 482-6700,(202) 482-6724,mailto:wromail@flra.gov,http://www.flra.gov/foia_contact,,
Washington Regional Office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(202) 482-6700,,,,,
Washington Regional Office,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
The Federal Service Impasses Panel,Federal Labor Relations Authority,,FOIA Contact,,"1400 K Street, NW",Washington ,DC,20424,(202) 218-7790,(202) 482-6674,mailto:fsipmail@flra.gov,http://www.flra.gov/foia_contact,,
The Federal Service Impasses Panel,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(202) 218-7790,,,,,
The Federal Service Impasses Panel,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
Office of the Inspector General,Federal Labor Relations Authority,,FOIA Contact,,"1400 K Street, NW",Washington ,DC,20424,"(202) 218-7770 (ext. 7744), (202) 218-7970",(202) 482-0573,mailto:oigmail@flra.gov,http://www.flra.gov/foia_contact,,
Office of the Inspector General,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,"(202) 218-7770 (ext. 7744), (202) 218-7970",,,,,
Office of the Inspector General,Federal Labor Relations Authority,,FOIA Public Liaison,,,,,,,,,,,
I don't know which office,Federal Labor Relations Authority,Fred B. Jacob,"Solicitor, Office of the Solicitor",,"1400 K Street, NW",Washington ,DC,20424,(202) 218-7770,(202) 343-1007,mailto:solmail@flra.gov,http://www.flra.gov/FOIA,,
I don't know which office,Federal Labor Relations Authority,,FOIA Requester Service Center,,,,,,(202) 218-7770,,,,,
I don't know which office,Federal Labor Relations Authority,Gina Grippando,FOIA Public Liaison,,,,,,(202) 218-7776,,mailto:ggrippando@flra.gov,,,
Federal Maritime Commission,Federal Maritime Commission,Karen Gregory,Secretary,,"800 North Capitol Street, NW",Washington,DC,20573,(202) 523-5725,(202) 523-0014,mailto:FOIA@fmc.gov,http://www.fmc.gov/about/freedom_of_information_act.aspx,,
Federal Maritime Commission,Federal Maritime Commission,Linda Hale,FOIA Requester Service Center,,,,,,(202) 523-5707,,,,,
Federal Maritime Commission,Federal Maritime Commission,Rachel Dickon,FOIA Public Liaison,,,,,,(202) 523-5725,,,,,
Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,Jeannette Walters-Marquez,Chief FOIA Officer,,"2100 K Street, NW",Washington,DC,20427,(202) 606-5488,(202) 606-5345,foia@fmcs.gov,http://www.fmcs.gov/internet/itemDetailNoNav.asp?categoryID=90&itemID=16303,,
Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,,FOIA Requester Service Center,,"2100 K Street, NW",Washington,DC,20427,(202) 606-5444,(202) 606-5345,foia@fmcs.gov,http://www.fmcs.gov/internet/itemDetailNoNav.asp?categoryID=90&itemID=16303,,
Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,Jeannette Walters-Marquez,FOIA Public Liaison,,"2100 K Street, NW",Washington,DC,20427,(202) 606-5488,(202) 606-5345,foia@fmcs.gov,http://www.fmcs.gov/internet/itemDetailNoNav.asp?categoryID=90&itemID=16303,,
Federal Mine Safety and Health Review Commission,Federal Mine Safety and Health Review Commission,Stacey Demps-Barrett,Chief FOIA Officer,Suite 520N,"1331 Pennsylvania, NW",Washington,DC,20004-1710,(202) 434-9935,(202) 434-9949,foia@fmshrc.gov,http://www.fmshrc.gov/foia,http://www.fmshrc.gov/foia/foia-request-form,
Federal Mine Safety and Health Review Commission,Federal Mine Safety and Health Review Commission,,FOIA Requester Service Center,,,,,,(202) 434-9935,,,,,
Federal Mine Safety and Health Review Commission,Federal Mine Safety and Health Review Commission,Emogene Johnson,FOIA Public Liaison,,,,,,(202) 434-9935,,,,,
Federal Open Market Committee,Federal Open Market Committee,Matthew Luecke,Chief FOIA Officer,Mail Stop 55,"20th & Constitution Avenue, NW",Washington,DC,20551,(202) 452-2576,(202) 452-2921,,http://www.federalreserve.gov/foia/fomc/about_fomcfoia.htm,http://www.federalreserve.gov/forms/fomcform.aspx,
Federal Open Market Committee,Federal Open Market Committee,,FOMC FOIA Service Center,,,,,,(202) 973-7400,(202) 452-2921,,http://www.federalreserve.gov/foia/fomc/about_fomcfoia.htm,http://www.federalreserve.gov/forms/fomcform.aspx,
Federal Open Market Committee,Federal Open Market Committee,David Caperton,FOIA Public Liaison,Mail Stop K1-PL00,1801 K Street NW,Washington,DC,20006,(202) 452-2899,,,,,
Federal Reserve System,Federal Reserve System,Jeanne McLaughlin,FOIA Manager,,"20th & Constitution Avenue, NW",Washington,DC,20551,(202) 452-3684,(202) 872-7565,,http://www.federalreserve.gov/generalinfo/foia/default.cfm,http://www.federalreserve.gov/generalinfo/foia/EFOIA/EFOIAForm.cfm,
Federal Reserve System,Federal Reserve System,,FOIA Requester Service Center,,,,,,(202) 452-3684,,,,,
Federal Reserve System,Federal Reserve System,Jeanne McLaughlin,FOIA Public Liaison,,,,,,(202) 452-2407,,mailto:Alison.M.Thro@frb.gov,,,
Federal Retirement Thrift Investment Board,Federal Retirement Thrift Investment Board,Dharmesh Vashee,Chief FOIA Officer,10th Floor,"77 K Street, NE",Washington,DC,20002,(202) 942-1600,(202) 942-1676,foiarequest@tsp.gov,http://www.frtib.gov/ReadingRoom/index.html,,
Federal Retirement Thrift Investment Board,Federal Retirement Thrift Investment Board,Amanda Haas,FOIA Requester Service Center,10th Floor,"77 K Street, NE",Washington,DC,20002,(202) 942-1600,(202) 942-1676,,,,
Federal Retirement Thrift Investment Board,Federal Retirement Thrift Investment Board,Megan Grumbine,FOIA Public Liaison,10th Floor,"77 K Street, NE",Washington,DC,20002,(202) 942-1600,(202) 942-1676,,,,
Federal Trade Commission,Federal Trade Commission,Dione Stearns,Assistant General Counsel for Information & Legal Support,,"600 Pennsylvania Avenue, NW H-585",Washington,DC,20580,(202) 326-2735,(202) 326-2477,mailto:foia@ftc.gov,http://www.ftc.gov/foia/,https://foia.ftc.gov/ftc/foia.htm,
Federal Trade Commission,Federal Trade Commission,FOIA Office,FOIA Hotline,,"600 Pennsylvania Avenue, NW H-585",Washington,DC,20580,(202) 326-2430,(202) 326-2477,,,,
Federal Trade Commission,Federal Trade Commission,Richard Gold,FOIA Public Liaison,,"600 Pennsylvania Avenue, NW H-585",Washington,DC,20580,(202) 326-3355,(202) 326-2477,,,,
Headquarters,General Services Administration,FOIA Contact,FOIA Requester Service Center (H1C),Room 7308,"1800 F. Street, NW",Washington,DC,20405,,(202) 501-2727,gsa.foia@gsa.gov,http://www.gsa.gov/portal/category/21416,https://foiaonline.regulations.gov/foia/action/public/home,
Headquarters,General Services Administration,,FOIA Requester Service Center,,,,,,(855) 675-3642,,,,,
Headquarters,General Services Administration,Travis Lewis,Program Manager,,,,,,(202) 219-3078,,,,,
Headquarters,General Services Administration,Audrey Corbett Brooks,FOIA Public Liaison,,,,,,(202) 205-5912,,,,,
Institute of Museum and Library Services,Institute of Museum and Library Services,Gladstone Payton,FOIA Officer,9th Floor,"1800 M Street, NW",Washington,DC,20036-5802,(202) 653-4628,(202) 653-4600,mailto:gpayton@imls,http://www.imls.gov/about/freedom_of_information_act_foia.aspx,,
Institute of Museum and Library Services,Institute of Museum and Library Services,Mae Ridges,FOIA Processor,,,,,,(202) 653-4642,,mailto:mridges@imls.gov,,,
Institute of Museum and Library Services,Institute of Museum and Library Services,Gladstone Payton,FOIA Public Liaison,,,,,,(202) 653-4628,,mailto:gpayton@imls,,,
Institute of Museum and Library Services,Institute of Museum and Library Services,Mae Ridges,FOIA Public Liaison,,,,,,(202) 653-4642,,mailto:mridges@imls.gov,,,
Inter-American Foundation,Inter-American Foundation,Paul Zimmerman,General Counsel,"12th Floor North, Suite 1200","1331 Pennsylvania, NW",Washington,DC,20004,(202) 683-7118,,foia@iaf.gov,http://iaf.gov/about-the-iaf/legal-notices-and-reports/freedom-of-information-act-foia,,
Inter-American Foundation,Inter-American Foundation,,FOIA Requester Service Center,,,,,,(202) 683-7118,,,,,
Inter-American Foundation,Inter-American Foundation,Lesley Duncan,FOIA Public Liaison,,,,,,(202) 688-3047,,lduncan@iaf.gov,,,
Legal Services Corporation,Legal Services Corporation,Cheryl DuHart,FOIA Analyst,3rd Floor,"3333 K Street, NW",Washington,DC,20007,(202) 295-1500,(202) 337-6519,FOIA@lsc.gov,http://www.lsc.gov/about-lsc/foia,,
Legal Services Corporation,Legal Services Corporation,,FOIA Requester Service Center,,,,,,(202) 295-1500,,,,,
Legal Services Corporation,Legal Services Corporation,Cheryl DuHart,FOIA Public Liaison,,,,,,(202) 295-1500,,,,,
Headquarters,Merit Systems Protection Board,William Spencer,"Acting FOIA Public Liaison, Office of the Clerk",,"1615 M Street, NW",Washington,DC,20419,(202) 254-4475,(202) 653-7130,FOIAHQ@mspb.gov,http://www.mspb.gov/FOIA/foia.htm,https://foiaonline.regulations.gov/foia/action/public/home,
Headquarters,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Headquarters,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4475,,,,,
Atlanta Regional Office,Merit Systems Protection Board,Yvonnie Ellis,FOIA Liaison,10th Floor,"401 W. Peachtree Street, NW",Atlanta,GA,20208-3519,(404) 730-2755 ext. 8019,(404) 730-2767,FOIAAT@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Atlanta Regional Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Atlanta Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4475,,,,,
Central Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Liaison,31st Floor,230 South Dearborn Street,Chicago,IL,60604-1669,(312) 353-2924 ext. 3113,(313) 886-4231,FOIACH@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Central Regional Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Central Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(312) 353-2924 ext. 3113,,,,,
Washington DC Regional Office,Merit Systems Protection Board,Marie Sumner,FOIA Liaison,Suite 950,1901 S. Bell Street,Arlington,VA,22202,(703) 756-7104 ext. 4109,(703) 756-7112,FOIADC@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Washington DC Regional Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Washington DC Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4474,,,,,
Northeastern Regional Office,Merit Systems Protection Board,Dennis Matthews,FOIA Liaison,Suite 1700,1601 Market Street,Philadelphia,PA,19103,(215) 597-9960 ext. 7108,(215) 597-3456,FOIAPH@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Northeastern Regional Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Northeastern Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4475,,,,,
